"id","issue_id","title","body","created_at","closed_at","resolution_time","priority","milestone","author","assignee","tema_relacionado"
1,68903,"Gutenberg plugin: Post excerpt block adding > character at the start of excerpt when no custom excerpt is set.","An existing feature does not function as intended | Used to indicate that a current issue matches an existing one and can be closed","2025-01-27","2025-01-27","00:36:52",NULL,NULL,"verytwisty","",NULL
2,68882,"Need to Use https instead of http in url","An existing feature does not function as intended | Documentation for developers","2025-01-25","2025-01-27","1 day 12:01:21",NULL,NULL,"pooja9712","shail-mehta",NULL
3,68875,"Slow site editor when navigation block has multiple submenu items","An existing feature does not function as intended | Tracking issues with work in progress | Related to performance efforts | Affects the Navigation Block","2025-01-24","2025-01-28","4 days 00:40:43",NULL,NULL,"mmtr","Mamaduka",NULL
4,68863,"Undo breakage with Spacer block and Row/Stack","An existing feature does not function as intended | Tracking issues with work in progress | History, undo, redo, revisions, autosave. | Affects the Spacer Block","2025-01-24","2025-01-28","4 days 13:55:50",NULL,NULL,"stokesman","yogeshbhutkar",NULL
5,68861,"Can't Edit Posts with Korean Language and Numeric Permalinks Set","Used to indicate that a current issue matches an existing one and can be closed","2025-01-23","2025-01-24","05:34:30",NULL,NULL,"ash1eygrace","","Arquitetura de Software"
6,68843,"Selecting multiple blocks and changing `position property` applies the styles of the first block to the rest of the blocks","An existing feature does not function as intended | Tracking issues with work in progress | /packages/block-editor","2025-01-23","2025-01-23","00:37:56",NULL,NULL,"yogeshbhutkar","yogeshbhutkar","Padroes de Projeto"
7,68835,"PostTypeSupportCheck is too strict regarding children","Tracking issues with work in progress | Issues or PRs that relate to code quality | /packages/editor","2025-01-22","2025-01-27","4 days 17:29:46",NULL,NULL,"CGastrell","",NULL
8,68834,"Clean up `changelog.txt` from duplicate entries","An existing feature does not function as intended | Issues or PRs related to build tooling","2025-01-22","2025-01-27","5 days 00:37:43",NULL,NULL,"afercia","",NULL
9,68827,"Navigation Submenu custom color doesn't match between front end and editor","An existing feature does not function as intended","2025-01-22","2025-01-22","09:32:45",NULL,NULL,"shimotmk","","Arquitetura de Software"
10,68793,"Core Data: Can't open editor if post type rewrite slug is non-Latin","An existing feature does not function as intended | /packages/core-data","2025-01-21","2025-01-21","05:39:42",NULL,NULL,"t-hamano","","Arquitetura de Software"
11,68774,"Post Featured Image: Linke block cannot be selected correctly","An existing feature does not function as intended | Tracking issues with work in progress | Affects the Post Featured Image Block","2025-01-20","2025-01-21","21:28:29",NULL,NULL,"t-hamano","t-hamano","Padroes de Projeto"
12,68771,"Saving post in block editor always prompts for ""untitled"" when saving a custom entity.","An existing feature does not function as intended | /packages/core-data | Needs testing from a developer perspective.","2025-01-19","2025-01-22","2 days 19:50:34",NULL,NULL,"gschaub","","Arquitetura de Software"
13,68766,"DataViews: Incorrect text position for empty items","Tracking issues with work in progress | Related to a regression in the latest release | Work surrounding upgrading and evolving views in the site editor and beyond","2025-01-18","2025-01-25","7 days 00:17:04",NULL,NULL,"t-hamano","shail-mehta","Padroes de Projeto"
14,68719,"Navigation block: aria-label disappears after any change to the pattern the block belongs to","An existing feature does not function as intended | Changes that impact accessibility and need corresponding review (e.g. markup changes). | Affects the Navigation Block","2025-01-16","2025-01-22","5 days 21:37:48",NULL,NULL,"afercia","","Padroes e Estilos Arquiteturais"
15,68705,"Lint: Broken URL for Stylelint Configuration Documentation","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-16","2025-01-16","02:47:30",NULL,NULL,"im3dabasia","im3dabasia","Padroes de Projeto"
16,68704,"It can be confusing for users that template parts are not always listed under ""patterns""","Used to indicate that a current issue matches an existing one and can be closed","2025-01-16","2025-01-21","4 days 20:25:10",NULL,NULL,"carolinan","","Padroes e Estilos Arquiteturais"
17,68696,"Resize for smaller devices does not have an effect on certain embed block variations","An existing feature does not function as intended | Affects the Embed Block","2025-01-15","2025-01-16","05:21:50",NULL,NULL,"andreawetzel","","Padroes e Estilos Arquiteturais"
18,68694,"`@wordpress/upload-media` is missing a dependency or peer dependency on `@babel/runtime` and `react`","An existing feature does not function as intended | Tracking issues with work in progress | Anything that impacts the experience of managing media","2025-01-15","2025-01-16","16:08:14",NULL,NULL,"anomiex","Mamaduka","Arquitetura de Software"
19,68689,"Gutenberg editor fails to load styles and images for backend only when hosting wordpess as an Azure App Service.","An existing feature does not function as intended | Needs testing from a developer perspective. | /packages/block-editor","2025-01-15","2025-01-17","1 day 15:15:04",NULL,NULL,"qiuzman","","Arquitetura de Software"
20,68682,"Navigation `<nav>` element labels should not contain the term 'navigation'","An existing feature does not function as intended | Changes that impact accessibility and need corresponding review (e.g. markup changes). | Tracking issues with work in progress | /packages/block-library | /packages/edit-site","2025-01-15","2025-01-28","12 days 21:36:32",NULL,NULL,"afercia","afercia",NULL
21,68670,"Template Part: 403 request error occurs in edit mode","An existing feature does not function as intended | Tracking issues with work in progress | Related to REST API | Related to the overarching Site Editor (formerly ""full site editing"")","2025-01-15","2025-01-15","04:45:49",NULL,NULL,"t-hamano","Mamaduka","Arquitetura de Software"
22,68660,"The Document Outline no longer shows the title","An existing feature does not function as intended | An option that outlines content based on a title and headings used in the post/page","2025-01-14","2025-01-14","04:36:47",NULL,NULL,"carolinan","","Padroes de Projeto"
